acl 2.3.1-2
libxcvt 0.1.2-1
libxdamage 1.1.6-1
libxdmcp 1.1.4-1
libxext 1.3.5-1
libxfixes 6.0.0-2
libxfont2 2.0.6-1
libxft 2.3.7-1
libxi 1.8-2
libxinerama 1.1.5-1
libxkbcommon 1.5.0-1
libxkbcommon-x11 1.5.0-1
libxkbfile 1.1.2-1
libxml2 2.10.3-2
libxmlb 0.3.10-1
libxmu 1.1.4-1
libxpm 3.5.14-1
libxrandr 1.5.3-1
libxrender 0.9.11-1
libxshmfence 1.3.2-1
libxslt 1.1.37-2
libxss 1.2.3-4
libxt 1.2.1-1
libxtst 1.2.4-1
libxv 1.0.12-1
libxxf86vm 1.1.5-1
libyaml 0.2.5-1
libyuv r2322+3aebf69d-1
licenses 20220125-1
lilv 0.24.20-1
linux-api-headers 5.18.15-1
linux-firmware 20221214.f3c283e-1
linux-firmware-whence 20221214.f3c283e-1
linux-zen 6.1.3.zen1-1
linux-zen-headers 6.1.3.zen1-1
llvm-libs 14.0.6-4
lm_sensors 1:3.6.0.r41.g31d1f125-2
lsof 4.96.4-1
lua 5.4.4-3
luajit 2.1.0.beta3.r464.g8625eee7-1
lv2 1.18.10-1
lxappearance 0.6.3-4
lz4 1:1.9.4-1
lzo 2.10-4
m4 1.4.19-1
make 4.4-1
mako 1.7.1-2
man-db 2.11.1-1
materia-gtk-theme 20210322-2
md4c 0.4.8-1
mesa 22.3.2-3
meson 1.0.0-2
miniupnpc 2.2.4-1
mjpegtools 2.2.1-1
mkinitcpio 34-2
mkinitcpio-busybox 1.35.0-1
mobile-broadband-provider-info 20221107-2
mpfr 4.1.1.p1-1
mpg123 1.31.1-1
msgpack-c 4.0.0-1
mtdev 1.1.6-2
ncurses 6.4-1
neofetch 7.1.0-2
neon 0.32.4-2
neovide 0.10.3-1
neovim 0.8.2-1
net-snmp 5.9.1-5
nettle 3.8.1-1
networkmanager 1.40.8-2
ninja 1.11.1-2
noto-fonts 20220810-1
noto-fonts-cjk 20220126-1
noto-fonts-emoji 20220920-1
noto-fonts-extra 20220810-1
npth 1.6-3
nspr 4.35-1
nss 3.86-1
ntfs-3g 2022.10.3-1
